Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.873024,-3.208577728,1.655557251,0.391585693,3.631691094
0.882832,-5.505850525,4.921016693,0.528251495,7.403367135
0.892641,-7.534581757,8.827443237,0.133073273,11.60652337
0.90245,-9.588161316,12.59450958,-0.319884796,15.83214563
0.912258,-10.644814,16.43312714,-0.515677643,19.58636403
0.922063,-10.79180832,19.46462311,-0.44936554,22.26065158
0.931871,-10.73522598,21.39081757,-0.148790588,23.93395687
0.941679,-10.73492661,22.68876846,1.12565918,25.12540492
0.951487,-10.0740509,23.78523834,2.402503967,25.94216818
0.961295,-10.44228516,25.64497101,2.687511292,27.81957178
0.971073,-10.66367477,25.44513657,3.050057373,27.75737352
0.980912,-10.79644867,25.21057434,3.262315979,27.61845521
0.990719,-10.87353836,26.2342955,4.04384079,28.68492192
1.000527,-9.41212738,23.29231339,5.466931458,25.71006309
1.010334,-8.353678436,22.10662903,6.717131653,24.56841159
1.020138,-6.545289001,20.02176453,7.368127899,22.31593985
1.02995,-4.937482452,17.23935059,7.596702576,19.4752107
1.039757,-3.574716339,15.13068558,7.734715576,17.36496669
1.049565,-2.446961517,13.0070517,7.416327667,15.17145117
1.059373,-1.524130554,10.86590424,6.338868256,12.67170468
1.069182,-1.426084442,9.033714294,4.895719299,10.3735133
1.07899,-1.884880371,7.864795074,3.465293884,8.798638377
1.088778,-2.460283813,7.309449921,2.026036835,7.974075485
1.098608,-2.774181061,6.728957062,0.589025116,7.302184213
1.108419,-2.86324585,6.146069183,-0.894240417,6.839006443
1.118227,-2.928360443,5.739065552,-2.054477692,6.762621302
1.128035,-3.2633638,5.333109741,-2.876418457,6.882251517
1.137844,-4.159400482,6.787036285,-2.903512115,8.473184556
1.147629,-5.058880005,8.004005585,-2.305655365,9.745379365
1.157459,-6.201154633,9.050180054,-1.638792114,11.09259741
1.167266,-7.227719879,11.43921204,-0.833766174,13.55694186
1.177073,-7.658524017,14.38014633,0.295635223,16.29506057
1.186882,-7.233258362,17.71072037,0.963546295,19.15510543
1.19669,-5.473966827,20.33251831,2.563419342,21.21194787
1.206497,-4.011807404,22.4720192,3.255280609,23.05825443
1.216303,-1.202449493,25.25383438,3.688629456,25.55010808
1.22611,2.573149109,26.54205551,3.729793854,26.92606858
1.235918,6.788682861,26.20585464,3.124003601,27.25054919
1.245727,9.533973999,26.04553802,1.602866821,27.78193466
1.255535,10.1378183,27.19739273,-0.452059937,29.02891471
1.265343,9.58411972,28.380233,-2.584824829,30.06616529
1.275151,10.83267334,24.17263275,-1.846560059,26.5532064
1.284957,11.09373047,17.9213324,-2.340682526,21.20669246
1.294765,9.817783813,17.08457245,0.358803864,19.70787241
1.304573,9.472002869,13.47363144,1.311273193,16.52201622
1.314382,9.059011688,9.774074707,4.52703598,14.07452606
1.324186,9.073381805,7.459438019,6.782395935,13.56356766
1.333999,9.5923526,4.027674408,8.499924316,13.4344372
1.343808,5.626349945,3.539838867,6.748117218,9.472241493
1.353617,4.527185669,1.682351532,6.471043396,8.074659088
1.363426,1.68025589,-1.177601166,4.274062042,4.741055864
1.373235,-0.439186707,-3.078198853,2.659519501,4.091605689
1.383043,-2.383643188,-3.379671936,1.575922852,4.425773388
1.392851,-3.23881485,-3.088377686,1.02611618,4.591395515
1.402659,-2.967878265,-3.067870331,0.73362442,4.331089303
1.412468,-2.15177536,-3.369343414,0.682281189,4.055628171
1.422276,-0.9595047,-3.635340271,0.878822479,3.861175612
1.432083,-0.144599304,-3.828588409,0.773591309,3.908636806
1.441891,1.302441559,-4.002676392,2.155966644,4.729266802
1.451697,0.949625244,-3.832779694,2.08980423,4.467579882
1.461508,1.343905334,-3.61318634,2.545905762,4.619830433
1.471315,1.616937561,-3.505260773,2.500999146,4.599601818
1.481124,1.868713989,-3.45526474,2.060315552,4.43574645
1.490931,1.945354614,-3.378923492,1.456321564,4.162018866
1.50074,2.041005707,-3.113974457,1.205892334,3.91365782
